일자,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,,
2020-01,"9,733,509","3,411,819","2,436,488","2,956,119","1,456,688","1,474,152","1,147,037","342,328","13,250,368","1,540,540","1,599,391","2,122,455","1,817,302","1,864,712","2,662,508","3,361,344","670,749",,
2020-02,"9,736,962","3,410,925","2,432,883","2,954,955","1,456,121","1,473,125","1,145,710","343,788","13,265,377","1,539,521","1,598,599","2,120,995","1,815,112","1,861,894","2,658,956","3,358,828","670,876",,
2020-03,"9,733,655","3,409,932","2,433,568","2,952,689","1,455,705","1,471,858","1,144,563","344,792","13,288,975","1,538,577","1,597,639","2,119,749","1,812,936","1,859,290","2,653,418","3,355,341","670,508",,
2020-04,"9,726,787","3,408,347","2,431,523","2,950,972","1,456,096","1,471,650","1,144,098","345,216","13,311,254","1,537,780","1,596,613","2,118,457","1,811,619","1,857,083","2,651,054","3,353,380","670,595",,
2020-05,"9,724,496","3,406,942","2,429,059","2,950,063","1,455,533","1,471,915","1,143,148","345,373","13,324,041","1,538,639","1,596,710","2,118,510","1,810,097","1,855,945","2,648,760","3,351,347","670,793",,-
2020-06,"9,720,846","3,404,423","2,427,954","2,947,217","1,455,048","1,471,040","1,142,190","345,341","13,338,020","1,539,282","1,597,593","2,119,771","1,808,802","1,854,618","2,646,493","3,349,454","671,316",,
2020-07,"9,715,429","3,402,776","2,428,022","2,945,565","1,454,709","1,470,225","1,141,362","346,217","13,351,891","1,540,094","1,597,936","2,120,692","1,808,044","1,853,339","2,644,001","3,347,637","671,913",,
2020-08,"9,708,247","3,401,072","2,428,228","2,943,491","1,454,154","1,469,431","1,140,310","347,232","13,370,714","1,540,689","1,598,162","2,120,519","1,807,094","1,851,985","2,640,932","3,345,169","672,524",,
2020-09,"9,699,232","3,399,749","2,426,849","2,942,553","1,453,952","1,469,099","1,139,368","348,014","13,388,485","1,541,104","1,598,536","2,120,559","1,806,441","1,851,124","2,640,003","3,343,770","672,948",,
2020-10,"9,689,159","3,397,598","2,424,171","2,942,233","1,452,994","1,467,556","1,138,581","351,007","13,400,615","1,541,836","1,599,102","2,120,347","1,805,937","1,850,680","2,639,763","3,342,831","673,606",,
2020-11,"9,679,771","3,395,514","2,421,859","2,942,307","1,451,993","1,465,893","1,137,345","353,430","13,413,459","1,542,374","1,599,680","2,120,607","1,805,204","1,850,557","2,639,245","3,341,063","674,001",,
2020-12,"9,668,465","3,391,946","2,418,346","2,942,828","1,450,062","1,463,882","1,136,017","355,831","13,427,014","1,542,840","1,600,837","2,121,029","1,804,104","1,851,549","2,639,422","3,340,216","674,635",,
2021-01,"9,657,969","3,389,388","2,415,813","2,942,452","1,449,115","1,463,291","1,135,370","357,871","13,449,499","1,541,696","1,599,658","2,119,837","1,802,748","1,850,575","2,637,639","3,338,396","674,615",,
2021-02,"9,648,606","3,387,761","2,413,191","2,941,705","1,447,953","1,462,064","1,132,953","359,569","13,471,758","1,540,875","1,599,122","2,119,542","1,801,319","1,849,795","2,636,747","3,336,045","675,137",,
2021-03,"9,598,484","3,372,399","2,408,875","2,936,461","1,445,473","1,458,463","1,129,254","360,462","13,465,837","1,536,399","1,595,714","2,115,823","1,797,450","1,844,811","2,635,563","3,330,463","673,974",,
2021-04,"9,588,711","3,369,704","2,406,296","2,936,214","1,444,787","1,457,619","1,128,163","361,396","13,479,798","1,536,175","1,596,303","2,116,452","1,796,331","1,844,148","2,635,896","3,329,623","674,484",,
2021-05,"9,575,355","3,367,334","2,402,940","2,936,382","1,443,154","1,457,161","1,127,175","362,036","13,488,910","1,535,491","1,596,955","2,117,260","1,794,682","1,842,423","2,633,592","3,327,298","674,877",,
2021-06,"9,565,990","3,364,358","2,397,646","2,936,367","1,442,647","1,456,107","1,126,369","362,995","13,500,688","1,535,530","1,597,503","2,117,400","1,794,345","1,840,921","2,632,401","3,325,840","675,293",,
2021-07,"9,558,153","3,361,781","2,395,749","2,937,440","1,442,482","1,455,300","1,125,727","364,364","13,512,867","1,536,140","1,597,501","2,118,205","1,793,902","1,839,698","2,631,649","3,324,735","675,876",,
2021-08,"9,550,227","3,359,527","2,393,626","2,938,429","1,441,970","1,454,679","1,124,459","365,309","13,530,519","1,536,270","1,597,179","2,118,183","1,792,476","1,838,353","2,630,254","3,322,373","675,883",,
2021-09,"9,542,256","3,358,763","2,392,787","2,941,795","1,442,827","1,455,058","1,123,236","366,560","13,542,284","1,536,765","1,596,765","2,118,098","1,791,110","1,835,690","2,628,344","3,319,271","676,079",,
2021-10,"9,532,428","3,356,311","2,390,721","2,945,009","1,442,454","1,454,228","1,122,566","368,276","13,549,577","1,537,717","1,596,948","2,118,977","1,789,770","1,834,653","2,627,925","3,318,161","676,569",,
2021-11,"9,520,880","3,353,627","2,388,230","2,946,319","1,442,138","1,453,675","1,122,495","369,465","13,557,973","1,538,273","1,597,019","2,119,529","1,788,616","1,833,864","2,627,468","3,316,365","676,768",,
2021-12,"9,509,458","3,350,380","2,385,412","2,948,375","1,441,611","1,452,251","1,121,592","371,895","13,565,450","1,538,492","1,597,427","2,119,257","1,786,855","1,832,803","2,626,609","3,314,183","676,759",,
2022-01,"9,505,926","3,348,874","2,383,858","2,949,150","1,441,636","1,451,272","1,121,100","374,377","13,571,450","1,538,660","1,597,097","2,118,638","1,785,392","1,832,604","2,624,310","3,311,438","676,691",,
2022-02,"9,508,451","3,347,396","2,381,095","2,950,978","1,440,032","1,450,862","1,119,446","376,399","13,574,369","1,539,051","1,597,022","2,118,912","1,783,923","1,831,451","2,622,026","3,307,005","677,143",,
2022-03,"9,506,778","3,343,504","2,380,494","2,952,699","1,438,463","1,450,057","1,118,010","377,296","13,575,936","1,539,036","1,597,484","2,119,099","1,782,205","1,829,501","2,619,641","3,303,274","677,218",,
2022-04,"9,500,480","3,340,214","2,378,573","2,953,260","1,436,916","1,449,360","1,117,204","378,196","13,577,808","1,539,038","1,597,284","2,119,296","1,780,824","1,828,550","2,617,552","3,300,692","677,413",,
2022-05,"9,496,887","3,338,167","2,376,676","2,955,167","1,436,012","1,448,933","1,116,482","379,340","13,581,496","1,539,005","1,597,033","2,119,661","1,779,230","1,827,674","2,616,177","3,298,016","677,766",,
2022-06,"9,494,807","3,336,737","2,375,306","2,957,066","1,435,378","1,448,401","1,115,609","380,215","13,585,967","1,539,064","1,597,118","2,120,201","1,778,279","1,826,440","2,613,963","3,295,615","678,012",,
2022-07,"9,493,211","3,334,595","2,374,120","2,960,580","1,434,703","1,448,182","1,114,753","380,889","13,589,362","1,539,178","1,597,163","2,121,011","1,776,949","1,825,534","2,612,016","3,293,709","678,491",,
2022-08,"9,488,454","3,331,444","2,371,936","2,963,117","1,434,397","1,448,240","1,113,458","381,439","13,590,056","1,538,801","1,596,886","2,121,082","1,775,664","1,824,104","2,609,356","3,290,991","679,016",,
2022-09,"9,450,768","3,323,826","2,367,735","2,960,097","1,432,856","1,446,602","1,112,191","381,925","13,574,353","1,537,396","1,595,624","2,120,269","1,772,596","1,820,458","2,605,066","3,286,470","678,426",,
2022-10,"9,443,722","3,322,286","2,366,852","2,962,388","1,432,651","1,446,863","1,111,707","382,258","13,579,508","1,537,339","1,595,578","2,121,333","1,771,776","1,819,157","2,603,389","3,284,495","678,324",,
2022-11,"9,436,836","3,320,276","2,365,619","2,964,820","1,432,049","1,446,749","1,111,371","382,770","13,583,238","1,536,863","1,595,284","2,122,357","1,770,839","1,818,484","2,602,052","3,282,849","678,373",,
2022-12,"9,428,372","3,317,812","2,363,691","2,967,314","1,431,050","1,446,072","1,110,663","383,591","13,589,432","1,536,498","1,595,058","2,123,037","1,769,607","1,817,697","2,600,492","3,280,493","678,159",,
2023-01,"9,424,873","3,316,107","2,362,880","2,969,502","1,429,816","1,445,806","1,110,074","384,496","13,596,091","1,535,373","1,594,459","2,122,913","1,768,229","1,816,707","2,597,527","3,277,672","677,493",,
2023-02,"9,427,583","3,315,516","2,360,662","2,971,788","1,428,927","1,445,875","1,108,665","385,285","13,600,800","1,534,067","1,593,434","2,123,625","1,766,524","1,814,858","2,594,399","3,272,381","677,090",,
2023-03,"9,426,404","3,313,539","2,358,988","2,974,481","1,427,508","1,445,519","1,107,746","385,609","13,603,546","1,533,719","1,594,056","2,124,650","1,765,175","1,813,872","2,593,210","3,269,228","677,031",,
2023-04,"9,422,710","3,311,402","2,357,881","2,976,338","1,426,625","1,445,214","1,107,134","385,825","13,607,919","1,533,356","1,594,109","2,125,333","1,764,181","1,813,439","2,592,205","3,267,369","677,115",,
2023-05,"9,418,885","3,309,261","2,357,032","2,978,089","1,425,739","1,445,221","1,106,446","386,050","13,612,597","1,533,081","1,594,007","2,125,833","1,763,004","1,812,475","2,590,726","3,265,018","677,057",,
2023-06,"9,414,093","3,306,993","2,356,416","2,978,749","1,424,818","1,445,126","1,106,015","386,126","13,618,969","1,532,617","1,593,931","2,126,374","1,762,021","1,811,554","2,588,860","3,263,251","676,832",,
2023-07,"9,411,260","3,305,052","2,379,086","2,981,553","1,424,305","1,444,898","1,105,326","386,192","13,623,055","1,532,050","1,594,240","2,126,640","1,761,169","1,810,071","2,564,065","3,261,361","676,810",,
2023-08,"9,409,466","3,302,740","2,378,464","2,985,152","1,423,810","1,444,837","1,104,448","385,953","13,624,964","1,531,390","1,594,337","2,127,077","1,759,815","1,808,339","2,561,623","3,258,309","676,489",,
