일자,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2020-01-20,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-24,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-26,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
2020-01-27,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
2020-01-28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-30,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-01-31,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
2020-02-01,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
2020-02-02,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-
2020-02-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-04,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-05,2,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-
2020-02-06,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
2020-02-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-09,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-
2020-02-10,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
2020-02-11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-16,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020-02-18,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-
2020-02-19,2,-,27,-,-,-,-,-,-,-,-,-,-,-,5,-,-
2020-02-20,-,-,12,-,-,-,-,-,-,-,-,-,-,-,4,-,-
2020-02-21,5,-,44,-,1,-,-,-,1,-,1,1,1,-,17,2,1
2020-02-22,2,2,67,-,3,1,-,1,2,-,2,-,1,-,106,2,1
2020-02-23,3,7,136,1,1,1,1,-,8,6,-,-,-,-,39,7,-
2020-02-24,4,8,152,-,2,1,-,-,12,-,-,-,-,-,19,9,-
2020-02-25,7,18,54,-,-,-,1,-,5,-,-,-,-,-,44,1,-
2020-02-26,8,13,184,1,-,-,1,-,3,-,2,1,-,-,36,4,-
2020-02-27,10,8,340,-,-,5,3,-,12,-,2,5,-,-,53,11,-
2020-02-28,7,5,296,1,-,4,5,-,11,-,3,9,2,-,74,10,-
2020-02-29,12,14,742,2,-,1,6,-,10,1,-,32,-,1,75,13,-
2020-03-01,8,4,512,-,-,-,-,-,8,-,1,12,-,1,48,1,-
2020-03-02,9,6,517,1,-,1,3,-,8,12,-,17,1,1,108,2,-
2020-03-03,7,2,520,-,2,-,-,-,2,1,-,4,1,-,59,1,1
2020-03-04,-,3,398,1,2,1,3,-,9,1,-,1,-,-,95,2,-
2020-03-05,5,-,326,1,-,1,-,-,7,2,1,4,-,-,81,9,1
2020-03-06,2,3,367,-,-,2,-,-,10,2,3,4,-,-,122,3,-
2020-03-07,3,1,390,-,-,-,-,1,10,1,5,2,-,-,65,5,-
2020-03-08,12,1,297,-,-,-,1,1,11,1,4,6,-,-,32,1,-
2020-03-09,10,-,190,-,2,-,-,3,12,1,1,4,-,-,25,-,-
2020-03-10,11,-,92,4,-,-,-,2,10,-,-,2,-,-,10,-,-
2020-03-11,53,2,131,12,-,-,1,2,11,1,2,8,-,-,18,1,-
2020-03-12,19,2,72,-,-,2,-,5,3,-,-,2,-,-,8,1,-
2020-03-13,12,1,61,2,-,2,2,17,8,-,-,1,-,-,4,-,-
2020-03-14,13,3,62,1,-,-,-,6,15,-,1,-,-,-,6,-,-
2020-03-15,9,3,41,1,1,-,1,1,11,-,3,-,-,-,4,-,-
2020-03-16,6,1,35,1,-,-,-,1,20,-,-,-,-,-,7,-,-
2020-03-17,12,-,32,1,-,-,-,-,31,-,-,-,-,-,5,1,-
2020-03-18,5,-,46,1,1,-,2,1,15,1,1,3,2,1,9,-,-
2020-03-19,12,-,97,-,-,-,6,-,18,-,1,-,1,-,12,-,-
2020-03-20,17,1,34,4,1,-,-,-,14,-,-,1,-,-,13,1,-
2020-03-21,15,-,69,4,-,-,-,-,12,-,1,-,-,-,40,-,-
2020-03-22,10,-,43,-,1,2,-,-,16,-,1,1,-,1,11,1,-
2020-03-23,6,1,24,-,-,-,-,1,14,-,2,-,-,-,2,1,-
2020-03-24,4,2,31,1,-,-,-,-,15,-,1,-,-,-,1,1,-
